Entity,Code,Year,Official development assistance (ODA) and private grants by donor - Net disbursements,990658-annotations
Adaptation Fund,,2010,22450000,
Adaptation Fund,,2011,46350000,
Adaptation Fund,,2012,24060000,
Adaptation Fund,,2013,6790000,
Adaptation Fund,,2014,40230000,
Adaptation Fund,,2015,47860000,
Adaptation Fund,,2016,43760000,
Adaptation Fund,,2017,33480000,
Adaptation Fund,,2018,51300000,
Adaptation Fund,,2019,67650000,
Adaptation Fund,,2020,78820000,
Adaptation Fund,,2021,61590000,
Adaptation Fund,,2022,67690000,
African Development Bank,,2001,107130000,
African Development Bank,,2002,146300000,
African Development Bank,,2003,111550000,
African Development Bank,,2004,182020000,
African Development Bank,,2005,196290000,
African Development Bank,,2006,208630000,
African Development Bank,,2007,187410000,
African Development Bank,,2008,179800000,
African Development Bank,,2009,176240000,
African Development Bank,,2010,132899990,
African Development Bank,,2011,123230000,
African Development Bank,,2012,115480000,
African Development Bank,,2013,142690000,
African Development Bank,,2014,136800000,
African Development Bank,,2015,136180000,
African Development Bank,,2016,177670000,
African Development Bank,,2017,130060000,
African Development Bank,,2018,102480000,
African Development Bank,,2019,13950000,
African Development Bank,,2020,7060000,
African Development Bank,,2021,8720000,
African Development Bank,,2022,5670000,
"African Development Bank, Total",,1965,-450000,
"African Development Bank, Total",,1966,-276400000,
"African Development Bank, Total",,1967,-270980000,
"African Development Bank, Total",,1975,14930000,
"African Development Bank, Total",,1976,39710000,
"African Development Bank, Total",,1977,90420000,
"African Development Bank, Total",,1978,118210000,
"African Development Bank, Total",,1979,144600000,
"African Development Bank, Total",,1980,232370000,
"African Development Bank, Total",,1981,224270000,
"African Development Bank, Total",,1982,311090000,
"African Development Bank, Total",,1983,400860000,
"African Development Bank, Total",,1984,287709980,
"African Development Bank, Total",,1985,542100000,
"African Development Bank, Total",,1986,576040000,
"African Development Bank, Total",,1987,683310000,
"African Development Bank, Total",,1988,597179970,
"African Development Bank, Total",,1989,829320000,
"African Development Bank, Total",,1990,927950000,
"African Development Bank, Total",,1991,925490000,
"African Development Bank, Total",,1992,950480000,
"African Development Bank, Total",,1993,978990000,
"African Development Bank, Total",,1994,805739970,
"African Development Bank, Total",,1995,694900030,
"African Development Bank, Total",,1996,769500000,
"African Development Bank, Total",,1997,816170000,
"African Development Bank, Total",,1998,811610000,
"African Development Bank, Total",,1999,637250000,
"African Development Bank, Total",,2000,432440000,
"African Development Bank, Total",,2001,745220000,
"African Development Bank, Total",,2002,1055560060,
"African Development Bank, Total",,2003,745480000,
"African Development Bank, Total",,2004,1299100000,
"African Development Bank, Total",,2005,1202540000,
"African Development Bank, Total",,2006,2489110000,
"African Development Bank, Total",,2007,1514310000,
"African Development Bank, Total",,2008,1829040000,
"African Development Bank, Total",,2009,2897830100,
"African Development Bank, Total",,2010,1907670000,
"African Development Bank, Total",,2011,2235860200,
"African Development Bank, Total",,2012,2476120000,
"African Development Bank, Total",,2013,2315920000,
"African Development Bank, Total",,2014,2032230000,
"African Development Bank, Total",,2015,2401840000,
"African Development Bank, Total",,2016,2425830100,
"African Development Bank, Total",,2017,2764129800,
"African Development Bank, Total",,2018,2160909800,
"African Development Bank, Total",,2019,1748250000,
"African Development Bank, Total",,2020,2487730000,
"African Development Bank, Total",,2021,1919260000,
"African Development Bank, Total",,2022,888610000,
African Development Fund,,1965,-450000,
African Development Fund,,1966,-276400000,
African Development Fund,,1967,-270980000,
African Development Fund,,1975,14930000,
African Development Fund,,1976,39710000,
African Development Fund,,1977,90420000,
African Development Fund,,1978,118210000,
African Development Fund,,1979,144600000,
African Development Fund,,1980,232370000,
African Development Fund,,1981,224270000,
African Development Fund,,1982,311090000,
African Development Fund,,1983,400860000,
African Development Fund,,1984,287709980,
African Development Fund,,1985,542100000,
African Development Fund,,1986,576040000,
African Development Fund,,1987,683310000,
African Development Fund,,1988,597179970,
African Development Fund,,1989,829320000,
African Development Fund,,1990,927950000,
African Development Fund,,1991,925490000,
African Development Fund,,1992,950480000,
African Development Fund,,1993,978990000,
African Development Fund,,1994,805739970,
African Development Fund,,1995,694900030,
African Development Fund,,1996,769500000,
African Development Fund,,1997,816170000,
African Development Fund,,1998,811610000,
African Development Fund,,1999,637250000,
African Development Fund,,2000,432440000,
African Development Fund,,2001,638090050,
African Development Fund,,2002,909260000,
African Development Fund,,2003,633930000,
African Development Fund,,2004,1117079900,
African Development Fund,,2005,1006250000,
African Development Fund,,2006,2280490000,
African Development Fund,,2007,1326900000,
African Development Fund,,2008,1649239900,
African Development Fund,,2009,2721590000,
African Development Fund,,2010,1774770000,
African Development Fund,,2011,2112629900,
African Development Fund,,2012,2360629800,
African Development Fund,,2013,2173230000,
African Development Fund,,2014,1895430000,
African Development Fund,,2015,2265660000,
African Development Fund,,2016,2248160000,
